text,label,file_line_number,label_id
بعد استقالة رئيس #المحكمة_الدستورية ننتظر استقالة #رئيس_القضاء #السودان,OBJ,1,3
البرادعي يستقوى بامريكا مرةاخرى و يرسل عصام العريان الي واشنطن شئ مقرف,NEG,3,0
#الحرية_والعدالة | شاهد الآن: #ليلة_الاتحادية أول فيلم استقصائي يتناول أسرار و كواليس تعرض لأول مرة حول حقيقة,OBJ,4,3
الوالدة لو اقولها بخاطري حشيشة تضحك بس من اقولها ملل الله وكيلك تعطيني محاضرة عن الفسق والفجور بجنوب الشيشان #ليه كذا يانبع الحنان,NEUTRAL,5,2
#انتخبوا_العرص #انتخبوا_البرص #مرسى_رئيسى #اين_رئيسى #_ #__ö,NEUTRAL,6,2
شاهد - آخر كلام: إضراب العاملين بمصلحة الطب الشرعي #,OBJ,13,3
#مصطفى_حسني #على_طريق_الله #روح_العبادة #الوضوء #كراسة_إياك_نعبد فرائض واركان الوضوء النية = نية التطهر من,OBJ,16,3
اللي ما يعرفش يقول عدس,OBJ,25,3
هواجس العام الجديد - سادسنا كيف يرتقى الأداء المهنى لمجلس الشعب لمستوى توقعاتنا؟ - عمرو حمزاوي - بوابة الشروق,OBJ,28,3
ماشاء الله، لا قوّة إلا بالله مؤشر بورصة #قطر يسجل أعلى مستوى في تاريخه #سحب_السفراء_من_قطر,OBJ,29,3
اللهم لا تحرمنا خير ما عندك بشر ما عندنا,OBJ,33,3
"تحالف بين #أنصار_بيت_المقدس و #الحرس_الثوري لتنفيذ عمليات ""إرهابية"" في مصر #مصر #الإخوان #المد_الشيعي #عمليات_إرهابية",NEG,36,0
_ 0 مش عيب تكذب؟ عمري ما عملت ولا هعمل بلوك لحد لا تمدح نفسك,NEG,38,0
#مصر_القوية |11-حذرنا من خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية لا تفهم سياسة ولا تعي معنى الدولة ومهامها وحدودها خارج فكرة حمل السلاح,NEG,40,0
منذ عامين وحتى الآن كل ما قدمه أنصار تيارات الشعارات الإسلامية لمصر مجرد مشاريع خناقات مع العالم والكون وأبناء الوطن,NEG,42,0
أن تفقد مالك فقد فقدت غالياً في حياتك و أن تفقد شرفك و أمانتك فقد فقدت أغلىما في حياتك لكن إذا فقدت الأمل فقد فقدت كل شيء في حياتك#سوريا,OBJ,48,3
"دعمرو حمزاوي برنامج "" أخر كلام "" 11 إبريل 2012",OBJ,51,3
الكاتب الصحفي أنور الهواري ضيف #يوسف_الحسيني في #السادة_المحترمون,OBJ,58,3
هل هناك فرق بين الفاشية العسكرية والفاشية الدينية ؟! د علاء الأسواني يكتب : كيف نتحرر من الفاشية ؟! >>,OBJ,72,3
